"subject_id" "activity" "mean_body_acceleration_X" "mean_body_acceleration_Y" "mean_body_acceleration_Z"
1 "LYING_DOWN" 0.22159824394 -0.0405139534294 -0.11320355358
1 "SITTING" 0.261237565425532 -0.00130828765170213 -0.104544182255319
1 "STANDING" 0.278917629056604 -0.0161375901037736 -0.110601817735849
1 "WALKING" 0.277330758736842 -0.0173838185273684 -0.111148103547368
1 "WALKING_DOWNSTAIRS" 0.289188320408163 -0.00991850461020408 -0.107566190908163
1 "WALKING_UPSTAIRS" 0.255461689622641 -0.0239531492643396 -0.0973020020943396
2 "LYING_DOWN" 0.281373403958333 -0.0181587397583333 -0.107245610416667
2 "SITTING" 0.27708735173913 -0.0156879937282609 -0.109218272456522
2 "STANDING" 0.277911472222222 -0.0184208270166667 -0.105908536055556
2 "WALKING" 0.276426586440678 -0.0185949199145763 -0.105500357966102
2 "WALKING_DOWNSTAIRS" 0.27761534806383 -0.0226614158361702 -0.116812942382979
2 "WALKING_UPSTAIRS" 0.247164790395833 -0.0214121132045833 -0.152513899520833
3 "LYING_DOWN" 0.275516852741936 -0.0189556785048387 -0.101300477506452
3 "SITTING" 0.257197599134615 -0.00350299841730769 -0.0983579203269231
3 "STANDING" 0.280046513278688 -0.0143376555065574 -0.101621722633148
3 "WALKING" 0.275567462068966 -0.0171767844203448 -0.112674859827586
3 "WALKING_DOWNSTAIRS" 0.292423484693878 -0.0193554079328571 -0.116139842908163
3 "WALKING_UPSTAIRS" 0.260819873067797 -0.0324109410555932 -0.110064863437288
4 "LYING_DOWN" 0.263559214981481 -0.0150031841055556 -0.110688150314815
4 "SITTING" 0.27153827992 -0.007163065158 -0.10587459588
4 "STANDING" 0.280499745892857 -0.00948911098553571 -0.0961574905535714
4 "WALKING" 0.278582015166667 -0.0148399475341667 -0.11140306485
4 "WALKING_DOWNSTAIRS" 0.279965329555556 -0.00980200850666667 -0.1067775246
4 "WALKING_UPSTAIRS" 0.270876696730769 -0.0319804295729615 -0.114219455519231
5 "LYING_DOWN" 0.278334325576923 -0.0183042123269231 -0.107937603673077
5 "SITTING" 0.273694139545455 -0.00990083527045455 -0.108540300265909
5 "STANDING" 0.282544390892857 -0.00700418554517857 -0.102171095696429
5 "WALKING" 0.27784234625 -0.0172850317482679 -0.107741776464286
5 "WALKING_DOWNSTAIRS" 0.29354392712766 -0.00850107533191489 -0.100319930659574
5 "WALKING_UPSTAIRS" 0.268459469914894 -0.0325269755153191 -0.107471453914894
6 "LYING_DOWN" 0.248656520140351 -0.0102529170561404 -0.133119570368421
6 "SITTING" 0.276778487454545 -0.0145911615290909 -0.110127728709091
6 "STANDING" 0.280346248596491 -0.0181236327175439 -0.112172831947368
6 "WALKING" 0.283658868070175 -0.0168954189082456 -0.110303165877193
6 "WALKING_DOWNSTAIRS" 0.277045258145833 -0.019536840063125 -0.107209356208333
6 "WALKING_UPSTAIRS" 0.268229355098039 -0.0272425385070588 -0.122082438784314
7 "LYING_DOWN" 0.250176694038462 -0.0204411516884615 -0.101361036576923
7 "SITTING" 0.284674637291667 -0.01461097580375 -0.122464597625
7 "STANDING" 0.282723539433962 -0.0145740341037736 -0.0997778303207547
7 "WALKING" 0.275592961754386 -0.018653665345614 -0.110912234947368
7 "WALKING_DOWNSTAIRS" 0.28030708 -0.0166332372978723 -0.0969383085872341
7 "WALKING_UPSTAIRS" 0.248706923078431 -0.0275639005607843 -0.143769688803922
8 "LYING_DOWN" 0.261254282907407 -0.0212281733881481 -0.102245365611111
8 "SITTING" 0.267491472934783 -0.00672550621304348 -0.104461049130435
8 "STANDING" 0.279620986111111 -0.0148113067148148 -0.106114996837037
8 "WALKING" 0.27468631 -0.0186628865310417 -0.107252090833333
8 "WALKING_DOWNSTAIRS" 0.283484089210526 -0.0211058674973684 -0.107598135394737
8 "WALKING_UPSTAIRS" 0.258880152048781 -0.0282415136341463 -0.11512211995122
9 "LYING_DOWN" 0.2591955368 -0.020526821662 -0.10754972144
9 "SITTING" 0.24832674354 -0.02701677698 -0.07537846886
9 "STANDING" 0.282310057333333 -0.0200454954022222 -0.0952747481333333
9 "WALKING" 0.278502842115385 -0.0180891971284423 -0.110820512307692
9 "WALKING_DOWNSTAIRS" 0.295923445 -0.0203994269075476 -0.0910278793952381
9 "WALKING_UPSTAIRS" 0.262436475714286 -0.0195101099975714 -0.125219003959184
10 "LYING_DOWN" 0.280230574137931 -0.024294484137931 -0.117168642362069
10 "SITTING" 0.270612056481481 -0.015042681852037 -0.104253238796296
10 "STANDING" 0.276650300681818 -0.0155418603409091 -0.107964083931818
10 "WALKING" 0.278574076603774 -0.017022351190566 -0.109057512132076
10 "WALKING_DOWNSTAIRS" 0.290401594315789 -0.0200050770710526 -0.110848597247368
10 "WALKING_UPSTAIRS" 0.267121853404255 -0.0143854920340426 -0.118180420834043
11 "LYING_DOWN" 0.280592970877193 -0.0176598052315789 -0.108786578070175
11 "SITTING" 0.276590197358491 -0.0149195616754717 -0.112840218339623
11 "STANDING" 0.277715562765957 -0.0171990886595745 -0.108686630425532
11 "WALKING" 0.271821892881356 -0.0166475833623729 -0.106096304033898
11 "WALKING_DOWNSTAIRS" 0.291605631956522 -0.0178097721219565 -0.111070149978261
11 "WALKING_UPSTAIRS" 0.263775859277778 -0.0303157822055556 -0.106797216481481
12 "LYING_DOWN" 0.260113433 -0.0175203917146667 -0.108160125666667
12 "SITTING" 0.275007224901961 -0.0157892988523529 -0.106307228960784
12 "STANDING" 0.277405834918033 -0.0169002543196721 -0.105526999754098
12 "WALKING" 0.2771286656 -0.015560927606 -0.10316110632
12 "WALKING_DOWNSTAIRS" 0.281521097391304 -0.018084266865793 -0.10955593226087
12 "WALKING_UPSTAIRS" 0.272970338653846 -0.0263574903403846 -0.107339730115385
13 "LYING_DOWN" 0.276716360483871 -0.020440454366129 -0.104331864532258
13 "SITTING" 0.274328499591837 -0.00587732936326531 -0.0972465110836735
13 "STANDING" 0.277758431052632 -0.0167891993964912 -0.112124137754386
13 "WALKING" 0.275883130350877 -0.0185660651947368 -0.111431456192982
13 "WALKING_DOWNSTAIRS" 0.294907553404255 -0.0143723839108511 -0.101993941531915
13 "WALKING_UPSTAIRS" 0.258203939581818 -0.0277392253910909 -0.125767265890909
14 "LYING_DOWN" 0.233275439803922 -0.0113424652490196 -0.0868333315509804
14 "SITTING" 0.279990577037037 -0.00870565463888888 -0.100401490425926
14 "STANDING" 0.280545613833333 -0.01520781344 -0.103817701790667
14 "WALKING" 0.271959598644068 -0.0217785380966102 -0.106756369135593
14 "WALKING_DOWNSTAIRS" 0.293422115555555 -0.0200141413657778 -0.0928330165533333
14 "WALKING_UPSTAIRS" 0.26242106612963 -0.0204388180024074 -0.112279688983333
15 "LYING_DOWN" 0.2894756525 -0.0166296542054167 -0.118530240291667
15 "SITTING" 0.27290337979661 -0.0117188472271186 -0.11366125320339
